name,team,league,games,at_bats,runs,hits,doubles,triples,home_runs,rbis,stolen,caught,walks,strikeout,hbp,sf,ibb,id
Ryan McKenna,BAL,AL,104,156,23,37,10,0,2,11,2,1,11,55,2,1,1,mckenry01
Billy McKinney*,OAK,AL,23,52,3,5,1,0,1,4,0,0,4,16,0,1,1,mckinbi01
Zach McKinstry*,TOT,NL,57,166,21,33,6,3,5,14,7,0,16,52,1,0,0,mckinza01
Zach McKinstry*,LAD,NL,10,11,4,1,0,0,1,2,0,0,3,4,0,0,0,mckinza01
Zach McKinstry*,CHC,NL,47,155,17,32,6,3,4,12,7,0,13,48,1,0,0,mckinza01
Ryan McMahon*,COL,NL,153,529,67,130,23,3,20,67,7,3,60,158,5,3,0,mcmahry01
Jeff McNeil*,NYM,NL,148,533,73,174,39,1,9,62,4,0,40,61,11,5,1,mcneije01
Austin Meadows*,DET,AL,36,128,9,32,6,2,0,11,0,1,16,17,3,0,0,meadoau01
Adonis Medina,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medinad01
Francisco Mejia#,TBR,AL,93,289,32,70,22,0,6,31,0,0,7,65,2,1,0,mejiafr01
Mark Melancon,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,melanma01
MJ Melendez*,KCR,AL,129,460,57,100,21,3,18,62,2,3,66,131,1,7,1,melenmj01
Danny Mendick,CHW,AL,31,97,22,28,4,1,3,15,1,0,7,23,1,0,0,mendida01
Joey Meneses,WSN,NL,56,222,33,72,14,0,13,34,1,0,15,52,1,2,2,menesjo01
Oscar Mercado,TOT,MLB,55,121,17,25,6,1,4,16,2,2,5,29,1,1,0,mercaos01
Oscar Mercado,CLE,AL,54,120,17,25,6,1,4,16,2,2,5,28,1,1,0,mercaos01
Oscar Mercado,PHI,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,mercaos01
Yermin Mercedes,SFG,NL,31,73,9,17,5,0,1,8,0,0,9,17,1,0,0,merceye01
Whit Merrifield,TOT,AL,139,504,70,126,28,1,11,58,16,5,38,85,0,8,0,merriwh01
Whit Merrifield,KCR,AL,95,383,51,92,23,1,6,42,15,3,30,61,0,7,0,merriwh01
Whit Merrifield,TOR,AL,44,121,19,34,5,0,5,16,1,2,8,24,0,1,0,merriwh01
Jake Meyers,HOU,AL,52,150,13,34,6,2,1,15,2,1,7,54,2,1,0,meyerja02
Keynan Middleton,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,middlke01
Brad Miller*,TEX,AL,81,222,20,47,3,0,7,32,4,2,18,70,0,1,0,millebr02
Owen Miller,CLE,AL,130,424,53,103,26,1,6,51,2,0,32,93,7,9,1,milleow01
Alec Mills,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,millsal02
Wyatt Mills,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,millswy01
Wyatt Mills,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,millswy01
Jose Miranda,MIN,AL,125,444,45,119,25,0,15,66,1,1,28,91,10,1,0,miranjo01
Calvin Mitchell*,PIT,NL,69,212,21,48,11,0,5,17,3,1,18,52,0,1,0,mitchca01
Garrett Mitchell*,MIL,NL,28,61,9,19,3,0,2,9,8,0,6,28,0,0,0,mitchga01
Yadier Molina,STL,NL,78,262,19,56,8,0,5,24,2,0,5,40,2,1,0,molinya01
Yoan Moncada#,CHW,AL,104,397,41,84,18,1,12,51,2,0,32,114,2,1,2,moncayo01
Adalberto Mondesí#,KCR,AL,15,50,3,7,0,0,0,3,5,0,4,20,0,0,0,mondera02
Nate Mondou*,OAK,AL,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,mondona01
Mickey Moniak*,TOT,MLB,37,106,13,18,3,1,3,8,1,0,4,44,1,0,0,moniami01
Mickey Moniak*,PHI,NL,18,46,4,6,1,0,0,2,0,0,3,19,0,0,0,moniami01
Mickey Moniak*,LAA,AL,19,60,9,12,2,1,3,6,1,0,1,25,1,0,0,moniami01
Elehuris Montero,COL,NL,53,176,21,41,15,1,6,20,0,0,8,60,1,0,0,monteel01
Dylan Moore,SEA,AL,104,205,41,46,11,2,6,24,21,8,34,75,13,1,2,mooredy01
Colin Moran*,CIN,NL,42,109,11,23,3,0,5,23,0,0,16,30,0,3,0,moranco01
Christopher Morel,CHC,NL,113,379,55,89,19,4,16,47,10,7,38,137,3,2,0,morelch01
Gabriel Moreno,TOR,AL,25,69,10,22,1,0,1,7,0,0,4,8,0,0,0,morenga01
Dauri Moreta,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moretda01
Reyes Moronta,TOT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moronre01
Reyes Moronta,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moronre01
Taylor Motter,CIN,NL,2,6,0,1,0,0,0,0,0,0,0,3,0,0,0,motteta01
Ryan Mountcastle,BAL,AL,145,555,62,139,28,1,22,85,4,1,43,154,4,7,1,mountry01
Mike Moustakas*,CIN,NL,78,252,30,54,12,0,7,25,2,0,24,75,6,3,0,moustmi01
Cedric Mullins*,BAL,AL,156,608,89,157,32,4,16,64,34,10,47,126,9,5,2,mullice01
Max Muncy*,LAD,NL,136,464,69,91,22,1,21,69,2,0,90,141,5,6,1,muncyma01
Yairo Munoz,PHI,NL,29,57,7,12,2,0,3,7,1,0,3,10,0,0,0,munozya01
Penn Murfee,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,murfepe01
Sean Murphy,OAK,AL,148,537,67,134,37,2,18,66,1,0,56,124,13,5,2,murphse01
Tom Murphy,SEA,AL,14,33,9,10,2,0,1,1,0,0,8,13,0,0,0,murphto04
Simon Muzziotti*,PHI,NL,9,7,0,1,0,0,0,0,0,0,0,2,1,0,0,muzzisi01
Wil Myers,SDP,NL,77,261,29,68,15,0,7,41,2,1,21,86,1,3,1,myerswi01
Tyler Naquin*,TOT,NL,105,310,47,71,19,4,11,46,4,2,19,93,4,0,2,naquity01
Tyler Naquin*,CIN,NL,56,187,29,46,12,2,7,33,3,2,13,53,3,0,2,naquity01
Tyler Naquin*,NYM,NL,49,123,18,25,7,2,4,13,1,0,6,40,1,0,0,naquity01
Andrew Nardi*,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nardian01
Omar Narvaez*,MIL,NL,84,262,21,54,12,1,4,23,0,0,29,57,3,1,1,narvaom01
Bo Naylor*,CLE,AL,5,8,0,0,0,0,0,0,0,0,0,5,0,0,0,naylobo01
Josh Naylor*,CLE,AL,122,449,47,115,28,0,20,79,6,1,38,80,6,5,4,naylojo01
Kyle Nelson*,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nelsoky01
Sheldon Neuse,OAK,AL,89,271,25,58,4,2,4,26,6,1,20,80,2,0,0,neusesh01
Tyler Nevin,BAL,AL,58,157,17,31,4,0,2,16,0,0,20,46,4,3,0,nevinty01
Kevin Newman,PIT,NL,78,288,31,79,18,2,2,24,8,2,16,48,2,1,0,newmake01
Tomás Nido,NYM,NL,98,284,31,68,15,0,3,28,0,0,14,76,1,2,0,nidoto01
Brandon Nimmo*,NYM,NL,151,580,102,159,30,7,16,64,3,2,71,116,16,3,0,nimmobr01
Austin Nola,SDP,NL,110,347,40,87,15,0,4,40,2,1,34,60,6,9,1,nolaau01
Lars Nootbaar*,STL,NL,108,290,53,66,16,3,14,40,4,1,51,71,1,5,1,nootbla01
Daniel Norris*,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,norrida01
Daniel Norris*,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,norrida01
Dom Nunez*,COL,NL,14,33,3,4,1,0,0,2,0,0,6,10,0,2,0,nunezdo01
Ryan O'Hearn*,KCR,AL,67,134,14,32,6,1,1,16,0,0,8,35,2,1,0,ohearry01
Logan O'Hoppe,LAA,AL,5,14,1,4,0,0,0,2,0,0,2,3,0,0,0,ohopplo01
Brian O'Keefe,SEA,AL,2,3,0,1,0,0,0,0,0,0,1,2,0,0,0,okeefbr01
Tyler O'Neill,STL,NL,96,334,56,76,11,1,14,58,14,4,38,103,4,7,0,oneilty01
Rougned Odor*,BAL,AL,135,426,49,88,19,3,13,53,6,1,32,109,10,4,1,odorro01
Shohei Ohtani*,LAA,AL,157,586,90,160,30,6,34,95,11,9,72,161,5,3,14,ohtansh01
Steven Okert*,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,okertst01
Chris Okey,CIN,NL,7,12,3,2,0,0,0,0,0,0,0,5,1,0,0,okeych01
Edward Olivares,KCR,AL,53,161,24,46,8,0,4,15,2,3,10,36,2,1,0,olivaed02
Matt Olson*,ATL,NL,162,616,86,148,44,0,34,103,0,0,75,170,4,4,6,olsonma02
Rafael Ortega*,CHC,NL,118,316,35,76,14,1,7,35,12,7,44,74,2,7,2,ortegra01
James Outman*,LAD,NL,4,13,6,6,2,0,1,3,0,0,2,7,1,0,0,outmaja01
Chris Owings,BAL,AL,26,56,6,6,2,0,0,0,1,0,10,24,1,0,0,owingch01
Marcell Ozuna,ATL,NL,124,470,56,106,19,0,23,56,2,1,31,122,2,4,0,ozunama01
Cristian Pache,OAK,AL,91,241,18,40,5,2,3,18,2,2,15,70,1,0,0,pachecr01
Kevin Padlo,TOT,MLB,13,33,0,4,1,0,0,3,0,0,1,10,0,0,0,padloke01
Kevin Padlo,TOT,NL,7,23,0,2,0,0,0,0,0,0,0,5,0,0,0,padloke01
Kevin Padlo,SFG,NL,4,12,0,2,0,0,0,0,0,0,0,4,0,0,0,padloke01
Kevin Padlo,SEA,AL,6,10,0,2,1,0,0,3,0,0,1,5,0,0,0,padloke01
Kevin Padlo,PIT,NL,3,11,0,0,0,0,0,0,0,0,0,1,0,0,0,padloke01
Jermaine Palacios,MIN,AL,30,70,8,10,0,0,2,6,0,0,4,27,0,2,0,palacje01
Josh Palacios*,WSN,NL,29,47,8,10,2,0,0,2,1,0,1,15,1,0,0,palacjo01
Richie Palacios*,CLE,AL,54,112,7,26,6,0,0,10,2,0,9,20,1,1,1,palacri01
Michael Papierski#,TOT,NL,39,91,7,13,1,0,1,4,0,0,10,26,0,0,0,papiemi01
Michael Papierski#,SFG,NL,5,9,1,0,0,0,0,0,0,0,1,4,0,0,0,papiemi01
Michael Papierski#,CIN,NL,34,82,6,13,1,0,1,4,0,0,9,22,0,0,0,papiemi01
Isaac Paredes,TBR,AL,111,331,48,68,16,0,20,45,0,1,44,67,4,2,0,paredis01
Hoy Park*,PIT,NL,23,51,7,11,2,0,2,6,1,0,4,15,1,2,0,parkho01
Vinnie Pasquantino*,KCR,AL,72,258,25,76,10,0,10,26,1,0,35,34,3,2,1,pasquvi01
Joel Payamps,TOT,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,payamjo01
Joel Payamps,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,payamjo01
Joel Payamps,OAK,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,payamjo01
Mark Payton*,CHW,AL,8,21,3,3,0,0,0,1,0,0,4,4,0,0,0,paytoma01
Joc Pederson*,SFG,NL,134,380,57,104,19,3,23,70,3,2,42,100,7,4,3,pederjo01
Liover Peguero,PIT,NL,1,3,0,1,0,0,0,0,0,0,1,2,0,0,0,pegueli01
Jeremy Pena,HOU,AL,136,521,72,132,20,2,22,63,11,2,22,135,6,5,0,penaje02
David Peralta*,TOT,MLB,134,439,39,110,30,3,12,59,1,3,41,114,4,6,5,peralda01
David Peralta*,ARI,NL,87,278,29,69,19,2,12,41,1,2,27,74,2,3,4,peralda01
David Peralta*,TBR,AL,47,161,10,41,11,1,0,18,0,1,14,40,2,3,1,peralda01
Oswald Peraza,NYY,AL,18,49,8,15,3,0,1,2,2,0,6,9,2,0,0,perazos02
Geraldo Perdomo#,ARI,NL,148,431,58,84,10,2,5,40,9,2,50,103,5,2,0,perdoge01
Carlos Perez,CHW,AL,7,18,0,4,2,0,0,2,0,0,0,2,0,0,0,perezca03
Cionel Pérez,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,perezci01
Joe Perez,HOU,AL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,perezjo02
Michael Perez*,TOT,NL,45,121,10,18,0,0,6,14,1,0,10,32,0,0,0,perezmi03
Michael Perez*,PIT,NL,39,107,8,16,0,0,6,11,1,0,8,26,0,0,0,perezmi03
Michael Perez*,NYM,NL,6,14,2,2,0,0,0,3,0,0,2,6,0,0,0,perezmi03
Roberto Perez,PIT,NL,21,60,8,14,2,0,2,8,0,0,9,25,0,0,0,perezro02
Salvador Perez,KCR,AL,114,445,48,113,23,1,23,76,0,0,18,109,7,3,2,perezsa02
Jace Peterson*,MIL,NL,112,288,44,68,14,2,8,34,12,1,33,85,2,3,2,peterja01
Tommy Pham,TOT,MLB,144,554,89,131,23,1,17,63,8,3,56,167,7,5,0,phamth01
Tommy Pham,CIN,NL,91,340,57,81,11,1,11,39,7,2,42,100,1,4,0,phamth01
Tommy Pham,BOS,AL,53,214,32,50,12,0,6,24,1,1,14,67,6,1,0,phamth01
Brett Phillips*,TOT,AL,83,201,22,29,6,0,5,15,7,0,16,94,3,1,0,phillbr02
Brett Phillips*,TBR,AL,75,184,21,27,4,0,5,14,7,0,16,85,3,1,0,phillbr02
Brett Phillips*,BAL,AL,8,17,1,2,2,0,0,1,0,0,0,9,0,0,0,phillbr02
Evan Phillips,LAD,NL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,phillev01
Kevin Pillar,LAD,NL,4,12,1,1,1,0,0,0,0,0,1,4,0,0,0,pillake01
Manny Pina,ATL,NL,5,14,1,2,0,0,0,2,0,0,1,1,1,1,0,pinama01
Chad Pinder,OAK,AL,111,361,38,85,18,0,12,42,2,0,14,118,0,2,0,pindech01
Israel Pineda,WSN,NL,4,13,1,1,0,0,0,0,0,0,1,7,0,0,0,pinedis01
Rene Pinto,TBR,AL,25,80,5,17,3,0,2,10,0,0,2,35,1,0,0,pintore02
Stephen Piscotty,OAK,AL,42,126,12,24,4,0,5,14,2,0,9,48,2,2,1,piscost01
Kevin Plawecki,TOT,AL,63,168,15,37,8,0,1,13,0,0,14,32,2,1,0,plaweke01
Kevin Plawecki,BOS,AL,60,157,15,34,8,0,1,12,0,0,14,28,2,1,0,plaweke01
Kevin Plawecki,TEX,AL,3,11,0,3,0,0,0,1,0,0,0,4,0,0,0,plaweke01
Nick Plummer*,NYM,NL,14,29,4,4,1,0,2,6,0,0,1,12,1,0,0,plummni01
Jorge Polanco#,MIN,AL,104,375,54,88,16,0,16,56,3,3,64,95,2,4,1,polanjo01
AJ Pollock,CHW,AL,138,489,61,120,26,1,14,56,3,1,32,98,2,4,0,polloaj01
Zach Pop,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,popza01
Zach Pop,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,popza01
Sean Poppen,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poppese01
Nick Pratto*,KCR,AL,49,158,18,29,9,1,7,20,0,0,19,66,1,3,0,prattni01
David Price*,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,priceda01
Ford Proctor*,SFG,NL,7,18,3,2,0,0,1,6,0,0,2,3,0,2,0,proctfo01
Jurickson Profar#,SDP,NL,152,575,82,140,36,2,15,58,5,1,73,103,4,3,0,profaju01
Albert Pujols,STL,NL,109,307,42,83,14,0,24,68,1,2,28,55,10,6,1,pujolal01
Roman Quinn#,TOT,MLB,44,79,15,17,3,2,0,7,4,3,7,36,1,0,0,quinnro01
Roman Quinn#,PHI,NL,23,37,8,6,1,0,0,3,4,1,3,15,0,0,0,quinnro01
Roman Quinn#,TBR,AL,21,42,7,11,2,2,0,4,0,2,4,21,1,0,0,quinnro01
Esteban Quiroz*,CHC,NL,14,40,3,11,0,0,0,3,1,1,4,9,2,0,0,quiroes01
Cal Raleigh#,SEA,AL,119,370,46,78,20,1,27,63,1,0,38,122,2,5,0,raleica01
Luke Raley*,TBR,AL,22,61,7,12,2,0,1,4,0,0,7,24,3,1,0,raleylu01
Harold Ramirez,TBR,AL,120,403,46,121,24,0,6,58,3,5,19,72,9,4,1,ramirha02
Jose Ramirez#,CLE,AL,157,601,90,168,44,5,29,126,20,7,69,82,6,9,20,ramirjo01
Noe Ramirez,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ramirno01
Heliot Ramos,SFG,NL,9,20,4,2,0,0,0,0,0,0,2,6,0,0,0,ramoshe02
J.T. Realmuto,PHI,NL,139,504,75,139,26,5,22,84,21,1,41,119,12,5,1,realmjt01
Jake Reed,TOT,MLB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,reedja02
Jake Reed,TOT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,reedja02
Jake Reed,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,reedja02
Jake Reed,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,reedja02
Rob Refsnyder,BOS,AL,57,153,25,47,11,0,6,21,1,1,15,46,6,3,0,refsnro01
Zach Reks*,TEX,AL,16,34,3,9,1,0,0,3,0,1,0,10,0,0,0,reksza01
Anthony Rendon,LAA,AL,47,166,15,38,10,0,5,24,2,0,23,35,2,2,0,rendoan01
Hunter Renfroe,MIL,NL,125,474,62,121,23,1,29,72,1,1,39,121,4,3,1,renfrhu01
Luis Rengifo#,LAA,AL,127,489,45,129,22,4,17,52,6,2,17,79,4,0,0,rengilu01
Franmil Reyes,TOT,MLB,118,438,43,97,17,2,14,47,2,1,30,157,2,3,0,reyesfr01
Franmil Reyes,CLE,AL,70,263,24,56,9,0,9,28,2,0,14,104,1,2,0,reyesfr01
Franmil Reyes,CHC,NL,48,175,19,41,8,2,5,19,0,1,16,53,1,1,0,reyesfr01
Pablo Reyes,MIL,NL,5,15,1,4,0,0,0,0,0,0,1,2,0,0,0,reyespa01
Victor Reyes#,DET,AL,92,315,27,80,19,3,3,34,2,2,13,77,4,4,0,reyesvi01
Bryan Reynolds#,PIT,NL,145,542,74,142,19,4,27,62,7,3,56,141,14,2,6,reynobr01
Matt Reynolds,TOT,NL,93,244,31,60,10,1,3,23,5,0,26,78,1,1,0,reynoma03
Matt Reynolds,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,reynoma03
Matt Reynolds,CIN,NL,92,244,31,60,10,1,3,23,5,0,26,78,1,1,0,reynoma03
JT Riddle*,CIN,NL,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,riddljt01
Austin Riley,ATL,NL,159,615,90,168,39,2,38,93,2,0,57,168,17,4,1,rileyau01
Edwin Rios*,LAD,NL,27,86,12,21,1,0,7,17,0,1,5,36,1,0,1,riosed01
Alfonso Rivas*,CHC,NL,101,251,27,59,5,2,3,25,6,1,29,87,4,2,1,rivasal01
Emmanuel Rivera,TOT,MLB,102,330,46,77,16,3,12,40,1,2,23,83,5,1,0,riverem01
Emmanuel Rivera,KCR,AL,63,198,24,47,8,3,6,22,0,0,11,46,2,0,0,riverem01
Emmanuel Rivera,ARI,NL,39,132,22,30,8,0,6,18,1,2,12,37,3,1,0,riverem01
Sebastian Rivero,KCR,AL,17,26,2,4,0,0,0,1,0,0,2,10,0,0,0,riverse01
Anthony Rizzo*,NYY,AL,130,465,77,104,21,1,32,75,6,5,58,101,23,2,6,rizzoan01
Luis Robert,CHW,AL,98,380,54,108,18,0,12,56,11,3,17,77,3,1,1,roberlu01
David Robertson,TOT,NL,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,roberda08
David Robertson,CHC,NL,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,roberda08
Kramer Robertson,STL,NL,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,roberkr01
Chuckie Robinson,CIN,NL,25,59,3,8,2,0,2,5,0,0,0,17,0,0,0,robinch04
Victor Robles,WSN,NL,132,366,42,82,10,2,6,33,15,4,17,104,9,4,0,roblevi01
Brendan Rodgers,COL,NL,137,527,72,140,30,3,13,63,0,0,46,101,3,5,0,rodgebr02
Joely Rodriguez*,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rodrijo06
Julio Rodriguez,SEA,AL,132,511,84,145,25,3,28,75,25,7,40,145,8,1,4,rodriju01
Taylor Rogers*,TOT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rogerta01
Taylor Rogers*,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rogerta01
Jose Rojas*,LAA,AL,22,56,1,7,2,0,0,1,0,0,0,19,1,0,0,rojasjo02
Josh Rojas*,ARI,NL,125,443,66,119,25,1,9,56,23,3,55,98,2,5,2,rojasjo01
Miguel Rojas,MIA,NL,140,471,34,111,19,2,6,36,9,3,26,61,6,3,1,rojasmi02
JoJo Romero*,TOT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,romerjo01
JoJo Romero*,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,romerjo01
Austin Romine,TOT,MLB,51,129,10,20,3,0,3,9,0,0,4,46,1,0,0,rominau01
Austin Romine,TOT,NL,48,121,10,18,3,0,3,9,0,0,4,43,1,0,0,rominau01
Austin Romine,LAA,AL,3,8,0,2,0,0,0,0,0,0,0,3,0,0,0,rominau01
Austin Romine,STL,NL,11,26,2,4,1,0,0,0,0,0,2,7,0,0,0,rominau01
Austin Romine,CIN,NL,37,95,8,14,2,0,3,9,0,0,2,36,1,0,0,rominau01
Brent Rooker,TOT,MLB,16,32,1,4,1,0,0,2,0,0,3,11,1,0,0,rookebr01
Brent Rooker,SDP,NL,2,7,0,0,0,0,0,0,0,0,0,4,0,0,0,rookebr01
Brent Rooker,KCR,AL,14,25,1,4,1,0,0,2,0,0,3,7,1,0,0,rookebr01
Amed Rosario,CLE,AL,153,637,86,180,26,9,11,71,18,4,25,111,4,4,0,rosaram01
Eddie Rosario*,ATL,NL,80,250,27,53,12,1,5,24,3,0,17,68,0,3,0,rosared01
Eguy Rosario,SDP,NL,7,5,0,1,0,0,0,0,0,0,1,2,0,0,0,rosareg01
Darin Ruf,TOT,NL,118,334,52,68,12,0,11,45,2,0,45,105,6,3,0,rufda01
Darin Ruf,SFG,NL,90,268,46,58,9,0,11,38,2,0,40,85,5,1,0,rufda01
Darin Ruf,NYM,NL,28,66,6,10,3,0,0,7,0,0,5,20,1,2,0,rufda01
Esteury Ruiz,TOT,NL,17,35,3,6,1,1,0,2,1,2,1,7,0,0,0,ruizes01
Esteury Ruiz,SDP,NL,14,27,1,6,1,1,0,2,1,2,0,5,0,0,0,ruizes01
Esteury Ruiz,MIL,NL,3,8,2,0,0,0,0,0,0,0,1,2,0,0,0,ruizes01
Keibert Ruiz#,WSN,NL,112,394,33,99,22,0,7,36,6,1,30,50,6,2,0,ruizke01
Adley Rutschman#,BAL,AL,113,398,70,101,35,1,13,42,4,0,65,86,4,3,0,rutscad01
Gary Sanchez,MIN,AL,128,419,42,86,24,0,16,61,2,0,40,136,7,5,0,sanchga02
Jesus Sanchez*,MIA,NL,98,313,38,67,14,3,13,36,1,0,26,92,3,1,0,sanchje02
Yolmer Sanchez#,TOT,MLB,17,37,1,4,0,0,0,2,0,2,5,13,0,0,0,sanchca01
Yolmer Sanchez#,BOS,AL,14,37,1,4,0,0,0,2,0,2,5,13,0,0,0,sanchca01
Yolmer Sanchez#,NYM,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sanchca01
Donny Sands,PHI,NL,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,sandsdo01
Reiver Sanmartin*,CIN,NL,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,sanmare01
Miguel Sano,MIN,AL,20,60,1,5,0,0,1,3,1,0,9,25,1,1,0,sanomi01
Carlos Santana#,TOT,AL,131,431,52,87,18,0,19,60,0,0,71,88,2,2,2,santaca01
Carlos Santana#,KCR,AL,52,176,17,38,10,0,4,21,0,0,36,28,0,0,1,santaca01
Carlos Santana#,SEA,AL,79,255,35,49,8,0,15,39,0,0,35,60,2,2,1,santaca01
Anthony Santander#,BAL,AL,152,574,78,138,24,0,33,89,0,2,55,122,13,5,1,santaan02
Clarke Schmidt,NYY,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schmicl01
Jonathan Schoop,DET,AL,131,481,48,97,23,1,11,38,5,0,19,107,6,4,1,schoojo01
Max Schrock*,CIN,NL,13,26,1,4,0,0,0,1,0,0,1,6,0,0,0,schroma01
Kyle Schwarber*,PHI,NL,155,577,100,126,21,3,46,94,10,1,86,200,4,2,3,schwaky01
Frank Schwindel,CHC,NL,75,271,23,62,11,0,8,36,0,0,19,58,0,2,1,schwifr01
Tanner Scott,MIA,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,scottta01
Corey Seager*,TEX,AL,151,593,91,145,24,1,33,83,3,0,58,103,7,5,7,seageco01
Jean Segura,PHI,NL,98,354,45,98,9,0,10,33,13,6,25,58,7,1,1,segurje01
Marcus Semien,TEX,AL,161,657,101,163,31,5,26,83,25,8,53,120,4,10,0,semiema01
Nick Senzel,CIN,NL,110,373,45,86,13,0,5,25,8,5,30,76,5,1,0,senzeni01
Brian Serven,COL,NL,62,187,19,38,4,1,6,16,0,0,13,44,2,1,0,servebr01
Anderson Severino*,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,severan01
Pedro Severino,MIL,NL,8,18,0,4,2,0,0,1,0,0,3,7,0,0,0,severpe01
Paul Sewald,SEA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sewalpa01
Bryan Shaw#,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,shawbr01
Travis Shaw*,BOS,AL,7,19,0,0,0,0,0,0,0,0,0,7,0,0,0,shawtr01
Gavin Sheets*,CHW,AL,124,377,34,91,19,0,15,53,0,0,27,86,3,3,0,sheetga01
Zack Short,DET,AL,6,9,2,0,0,0,0,2,1,0,2,5,0,2,0,shortza01
Chasen Shreve*,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,shrevch01
Mike Siani*,CIN,NL,9,24,1,4,0,0,0,0,0,1,0,7,0,0,0,sianimi01
Magneuris Sierra*,LAA,AL,45,91,7,15,1,3,0,5,6,1,4,25,0,0,0,sierrma01
Andrelton Simmons,CHC,NL,34,75,8,13,1,0,0,7,4,0,7,13,0,0,0,simmoan01
Jose Siri,TOT,AL,104,301,53,64,13,2,7,24,14,2,20,108,3,1,0,sirijo01
Jose Siri,HOU,AL,48,135,18,24,4,2,3,10,6,1,9,48,2,1,0,sirijo01
Jose Siri,TBR,AL,56,166,35,40,9,0,4,14,8,1,11,60,1,0,0,sirijo01
Austin Slater,SFG,NL,125,277,49,73,15,2,7,34,12,1,40,89,6,2,0,slateau01
Dominic Smith*,NYM,NL,58,134,11,26,10,1,0,17,0,0,12,37,4,2,0,smithdo02
Josh Smith*,TEX,AL,73,213,23,42,5,0,2,16,4,3,28,50,7,3,0,smithjo11
Kevin Smith,OAK,AL,47,139,9,25,9,1,2,13,4,0,7,42,0,2,0,smithke05
Pavin Smith*,ARI,NL,75,245,24,54,9,0,9,33,1,0,28,67,1,3,1,smithpa04
Will Smith,LAD,NL,137,508,68,132,26,3,24,87,1,0,56,96,10,4,4,smithwi05
Canaan Smith-Njigba*,PIT,NL,3,5,1,1,1,0,0,0,0,0,1,0,1,0,0,smithca05
Collin Snider,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,snideco01
